,State,"AI Office: The government should establish an AI office to study AI’s impacts on society, evaluate frontier AI systems for risks, and make non-binding recommendations to AI developers about how to reduce societal risks.",Funding: Governments should establish programs for funding scientific research on understanding and mitigating the societal risks of AI.,System registration: Companies who make frontier AI systems should be required to register those systems with the government.,Risk-management policies: Companies developing frontier AI systems should be required to write and publicly share reports on their company policies for assessing and managing societal risks.,System documentation: AI companies should be required to write and publicly share reports about what uses their frontier AI systems are designed for and how they are meant to behave.,Risk assessment reports: AI companies should be required to write and publicly share risk assessment reports for their frontier systems.,Third-party evaluations: AI companies building frontier models should be required to have a third party evaluate them for risks and publicly share a report on their findings.,Government approval: Companies developing frontier AI systems should be required to submit reports on risk evaluations and obtain government approval from a designated AI office before deploying their systems.,Safety requirements: Government AI agencies should have the authority to make and enforce concrete safety standards for frontier AI systems.,"Staged deployment: Companies deploying frontier AI systems should be required to deploy them gradually in stages and monitor impacts at each stage. 
For example, developers could be required to first release a system with limited access to users before giving users full access later.","Content labeling: To inform humans about what kind of content they are viewing, AI-generated content (images, videos, text) should be required to be clearly labeled as AI-generated.","File labeling: To help track the origins of data (known as digital forensics), regulators should require that AI-generated content (images, videos, text) are saved using file formats which indicate that they are AI-generated.","Shutdown procedures: AI companies building autonomous frontier AI systems should be required to report on what, if any, shutdown procedures they have in place for them.",Whistleblower protections: Policymakers should establish legal protections for employees of AI companies who raise concerns about company risk management practices or report potential violations of laws.,Q45,Incident reporting: AI companies building frontier models should be required to publicly report on incidents which involve harms to humans health or large economic damages.,Direct liability: AI companies should be held liable for direct harms caused by their systems as if those systems were their employees.,Indirect liability: Companies that make frontier AI systems should be held legally responsible for indirect damages their systems cause if it a court establishes that the company could have anticipated these problems.,"Slower development: Should governments work to slow down the development of AI until we have more protections in place to reduce risks, even if it delays benefits of the new technology?",What is your age?,What best describes your gender?,What best describes the highest level of education you have completed?,What best describes your employment status?,"What industry sector(s), if any, do you have work experience in? (if employed):",What best describes your familiarity with AI technology?,What best describes how often you interact with AI systems such as ChatGPT in your daily life?,What best describes your political orientation?,What best describes where you live?
75,CA,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,25-34,Female,High school graduate or equivalent,Self-employed,Other,Very familiar,Approximately weekly,Very liberal,Suburban
76,CA,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,55-64,Female,"Some college, no degree",Employed full-time,"Technology/IT,Retail",Very familiar,Approximately daily or more,Very liberal,Suburban
77,CA,Support,Support,Strongly Oppose,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Oppose,Strongly Oppose,Strongly Oppose,Support,Strongly Oppose,Support,Support,Neutral,Strongly Support,Neutral,Strongly Oppose,Strongly Oppose,25-34,Female,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately weekly,Somewhat conservative,Urban
78,CA,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Support,Strongly Support,Neutral,Support,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Moderately familiar,Approximately weekly,Very conservative,Suburban
79,CA,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Neutral,Support,Support,Support,Neutral,Neutral,Support,Support,Neutral,Oppose,18-24,Female,"Some college, no degree",Employed part-time,Other,Moderately familiar,Approximately daily or more,Somewhat liberal,Urban
80,CA,Neutral,Oppose,Oppose,Support,Strongly Support,Support,Neutral,Oppose,Neutral,Support,Strongly Support,Neutral,Neutral,Strongly Support,Neutral,Support,Neutral,Strongly Support,Neutral,25-34,Male,Bachelor's degree,Employed full-time,"Technology/IT,Retail",Moderately familiar,Approximately weekly,Very conservative,Suburban
81,CA,Strongly Support,Support,Neutral,Support,Oppose,Neutral,Strongly Oppose,Strongly Oppose,Strongly Support,Strongly Oppose,Support,Support,Strongly Oppose,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Oppose,55-64,Male,Bachelor's degree,Employed full-time,Finance/Banking,Very familiar,Approximately weekly,Somewhat conservative,Suburban
82,CA,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Neutral,Strongly Support,25-34,Male,"Some college, no degree",Student,Education,Extremely familiar,Approximately daily or more,Very conservative,Suburban
83,CA,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Female,Bachelor's degree,Employed full-time,"Healthcare,Retail",Slightly familiar,Almost never,Somewhat liberal,Suburban
84,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,25-34,Female,High school graduate or equivalent,Employed part-time,"Healthcare,Retail",Very familiar,Almost never,Very liberal,Suburban
85,CA,Oppose,Neutral,Support,Support,Strongly Support,Support,Neutral,Neutral,Oppose,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Oppose,25-34,Female,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
86,CA,Support,Support,Support,Support,Strongly Support,Support,Neutral,Support,Neutral,Support,Strongly Support,Strongly Support,Neutral,Neutral,Neutral,Neutral,Support,Oppose,Oppose,35-44,Male,Bachelor's degree,Employed full-time,Government/Public Sector,Moderately familiar,Almost never,Moderate,Suburban
87,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Oppose,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Oppose,35-44,Male,Bachelor's degree,Employed full-time,Retail,Extremely familiar,Approximately monthly,Very liberal,Urban
88,CA,Support,Support,Strongly Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Strongly Oppose,Neutral,Oppose,Support,Support,Oppose,35-44,Male,Bachelor's degree,Self-employed,Technology/IT,Moderately familiar,Approximately weekly,Very conservative,Suburban
89,CA,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Oppose,35-44,Male,Bachelor's degree,Employed full-time,Finance/Banking,Moderately familiar,Approximately monthly,Moderate,Suburban
90,CA,Neutral,Support,Neutral,Support,Neutral,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Neutral,Neutral,Neutral,Neutral,Support,25-34,Male,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Moderate,Urban
91,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Support,55-64,Female,Less than high school,Employed full-time,Technology/IT,Extremely familiar,Approximately daily or more,Very conservative,Urban
92,CA,Support,Oppose,Oppose,Support,Support,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Support,Oppose,Neutral,Support,Neutral,Support,Oppose,Support,Support,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Somewhat liberal,Urban
93,CA,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Oppose,45-54,Male,Bachelor's degree,Employed full-time,"Technology/IT,Manufacturing",Extremely familiar,Approximately daily or more,Very liberal,Urban
94,CA,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Oppose,35-44,Male,Master's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat liberal,Urban
95,CA,Strongly Oppose,Oppose,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Oppose,Strongly Oppose,Strongly Oppose,Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Oppose,25-34,Male,"Some college, no degree",Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Very conservative,Urban
96,CA,Neutral,Oppose,Oppose,Support,Support,Support,Neutral,Oppose,Neutral,Strongly Support,Support,Oppose,Neutral,Support,Neutral,Support,Oppose,Neutral,Strongly Oppose,45-54,Female,Associate's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
97,CA,Strongly Support,Support,Support,Support,Support,Support,Neutral,Oppose,Strongly Support,Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Neutral,Neutral,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Very liberal,Urban
98,CA,Neutral,Neutral,Strongly Oppose,Neutral,Strongly Support,Neutral,Oppose,Strongly Oppose,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Neutral,Neutral,Oppose,35-44,Male,"Some college, no degree",Employed full-time,"Technology/IT,Retail",Very familiar,Approximately daily or more,Very conservative,Suburban
99,CA,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,35-44,Male,"Some college, no degree",Employed full-time,Not applicable,Slightly familiar,Almost never,Somewhat conservative,Suburban
100,IL,Neutral,Neutral,Neutral,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Neutral,Support,Support,Support,Support,35-44,Female,Master's degree,Employed part-time,Education,Moderately familiar,Approximately monthly,Somewhat liberal,Suburban
101,IL,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Neutral,25-34,Male,Associate's degree,Self-employed,Other,Moderately familiar,Approximately weekly,Very liberal,Suburban
102,IL,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Oppose,Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Oppose,Support,Neutral,Oppose,Neutral,Strongly Oppose,Strongly Oppose,55-64,Male,Master's degree,Employed part-time,Manufacturing,Slightly familiar,Approximately weekly,Somewhat conservative,Suburban
103,IL,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Strongly Support,Strongly Support,Oppose,45-54,Female,High school graduate or equivalent,Employed full-time,Other,Slightly familiar,Approximately weekly,Very liberal,Suburban
104,IL,Support,Oppose,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,35-44,Female,Associate's degree,Unemployed,Not applicable,Slightly familiar,Almost never,Somewhat liberal,Suburban
105,IL,Support,Neutral,Support,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Strongly Support,Neutral,Support,Strongly Support,Support,Support,35-44,Female,Master's degree,Employed part-time,Other,Moderately familiar,Approximately daily or more,Somewhat liberal,Suburban
106,IL,Support,Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Support,Strongly Support,Neutral,35-44,Female,Bachelor's degree,Unemployed,"Healthcare,Retail,Other",Slightly familiar,Approximately monthly,Somewhat liberal,Urban
107,IL,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Oppose,Strongly Support,Strongly Support,Neutral,Support,Neutral,Support,Strongly Support,Strongly Support,Oppose,55-64,Female,Master's degree,Employed part-time,Other,Moderately familiar,Approximately weekly,Very liberal,Suburban
108,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Male,"Some college, no degree",Self-employed,"Retail,Other",Very familiar,Almost never,Very liberal,Urban
109,IL,Oppose,Oppose,Strongly Oppose,Oppose,Oppose,Oppose,Oppose,Strongly Oppose,Oppose,Strongly Oppose,Strongly Support,Support,Oppose,Oppose,Neutral,Support,Strongly Support,Support,Strongly Oppose,45-54,Female,Bachelor's degree,Employed full-time,Healthcare,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
110,IL,Support,Neutral,Support,Support,Support,Support,Neutral,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,45-54,Male,"Some college, no degree",Employed part-time,"Manufacturing,Other",Moderately familiar,Approximately monthly,Moderate,Suburban
111,IL,Oppose,Support,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Support,Strongly Oppose,Oppose,Strongly Oppose,Strongly Oppose,Strongly Support,Neutral,Strongly Oppose,Support,Strongly Oppose,Strongly Oppose,25-34,Male,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately weekly,Very conservative,Suburban
112,IL,Support,Support,Oppose,Support,Oppose,Neutral,Oppose,Strongly Oppose,Neutral,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Oppose,Oppose,35-44,Male,Bachelor's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately weekly,Moderate,Urban
113,IL,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,35-44,Female,Doctorate,Employed full-time,Education,Moderately familiar,Approximately weekly,Very liberal,Suburban
114,IL,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Support,Strongly Support,Strongly Support,Support,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Extremely familiar,Approximately daily or more,Very liberal,Urban
115,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,18-24,Female,Bachelor's degree,Employed full-time,"Healthcare,Education",Very familiar,Approximately weekly,Very liberal,Urban
116,IL,Neutral,Support,Neutral,Support,Support,Neutral,Support,Neutral,Support,Support,Support,Strongly Support,Oppose,Support,Neutral,Strongly Support,Support,Oppose,Oppose,18-24,Male,High school graduate or equivalent,Student,Not applicable,Very familiar,Approximately weekly,Moderate,Suburban
117,IL,Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Neutral,Support,Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Support,Neutral,Support,45-54,Female,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat conservative,Suburban
118,IL,Neutral,Support,Neutral,Neutral,Neutral,Oppose,Neutral,Neutral,Support,Neutral,Strongly Support,Support,Neutral,Strongly Support,Neutral,Support,Oppose,Strongly Support,Oppose,25-34,Female,"Some college, no degree",Unemployed,"Technology/IT,Retail",Very familiar,Approximately daily or more,Very liberal,Rural
119,IL,Support,Strongly Support,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Oppose,35-44,Male,"Some college, no degree",Employed full-time,Technology/IT,Extremely familiar,Approximately daily or more,Somewhat liberal,Urban
120,IL,Neutral,Neutral,Strongly Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Neutral,35-44,Male,Master's degree,Self-employed,"Technology/IT,Manufacturing,Other",Very familiar,Almost never,Moderate,Urban
121,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Neutral,35-44,Male,"Some college, no degree",Employed full-time,Retail,Moderately familiar,Approximately monthly,Somewhat liberal,Suburban
122,IL,Support,Neutral,Oppose,Support,Strongly Support,Support,Neutral,Neutral,Oppose,Strongly Support,Support,Support,Strongly Support,Neutral,Neutral,Neutral,Oppose,Oppose,Neutral,55-64,Male,Bachelor's degree,Employed full-time,"Education,Retail",Moderately familiar,Approximately weekly,Somewhat conservative,Urban
123,IL,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Support,18-24,Female,Bachelor's degree,Employed full-time,Technology/IT,Extremely familiar,Approximately daily or more,Very liberal,Urban
124,IL,Support,Neutral,Support,Support,Support,Support,Neutral,Neutral,Support,Oppose,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Female,Professional degree,Employed part-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
125,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,35-44,Female,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat liberal,Urban
126,IL,Strongly Support,Strongly Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,18-24,Male,"Some college, no degree",Employed part-time,Retail,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
127,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Male,Bachelor's degree,Employed full-time,"Healthcare,Finance/Banking",Moderately familiar,Approximately weekly,Somewhat liberal,Urban
128,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Neutral,35-44,Female,Associate's degree,Unemployed,Not applicable,Moderately familiar,Approximately daily or more,Somewhat conservative,Rural
129,IL,Support,Support,Neutral,Neutral,Neutral,Support,Support,Neutral,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Neutral,18-24,Female,Bachelor's degree,Self-employed,Retail,Very familiar,Approximately monthly,Moderate,Urban
130,IL,Support,Oppose,Support,Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Support,Support,25-34,Female,Master's degree,Employed full-time,Education,Very familiar,Approximately daily or more,Very liberal,Suburban
131,IL,Support,Strongly Support,Support,Neutral,Neutral,Support,Support,Support,Neutral,Support,Support,Support,Support,Strongly Support,Neutral,Support,Neutral,Neutral,Oppose,55-64,Female,Master's degree,Employed full-time,Education,Very familiar,Approximately daily or more,Somewhat conservative,Rural
132,IL,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Neutral,55-64,Female,"Some college, no degree",Self-employed,Other,Very familiar,Approximately daily or more,Somewhat liberal,Rural
133,IL,Neutral,Strongly Support,Neutral,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,25-34,Male,Bachelor's degree,Unemployed,Not applicable,Very familiar,Approximately daily or more,Somewhat liberal,Urban
134,IL,Support,Support,Oppose,Neutral,Neutral,Support,Oppose,Neutral,Neutral,Strongly Oppose,Strongly Support,Strongly Support,Neutral,Neutral,Neutral,Support,Strongly Support,Neutral,Neutral,35-44,Male,Master's degree,Employed full-time,Education,Extremely familiar,Approximately daily or more,Somewhat liberal,Suburban
135,IL,Support,Support,Neutral,Oppose,Support,Support,Neutral,Support,Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Neutral,Support,Support,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Very conservative,Suburban
136,IL,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Neutral,Strongly Support,Support,Support,Support,Neutral,Support,Support,Support,Oppose,35-44,Nonbinary,Master's degree,Employed full-time,Healthcare,Slightly familiar,Approximately weekly,Somewhat liberal,Urban
137,IL,Support,Neutral,Support,Neutral,Support,Neutral,Neutral,Neutral,Oppose,Support,Oppose,Support,Neutral,Strongly Support,Neutral,Oppose,Support,Oppose,Support,35-44,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat liberal,Urban
138,IL,Neutral,Strongly Oppose,Neutral,Support,Neutral,Support,Neutral,Support,Support,Support,Strongly Support,Neutral,Neutral,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,45-54,Female,Associate's degree,Employed full-time,Other,Moderately familiar,Almost never,Somewhat conservative,Suburban
139,IL,Strongly Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Neutral,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Oppose,25-34,Male,Master's degree,Employed full-time,Education,Very familiar,Approximately daily or more,Very liberal,Urban
140,IL,Support,Neutral,Oppose,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Oppose,Strongly Oppose,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Oppose,35-44,Male,Associate's degree,Employed full-time,"Technology/IT,Healthcare,Retail",Extremely familiar,Approximately daily or more,Somewhat liberal,Suburban
141,IL,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Support,Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,35-44,Female,Master's degree,Unemployed,Not applicable,Moderately familiar,Approximately monthly,Somewhat liberal,Suburban
142,IL,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,45-54,Female,Bachelor's degree,Self-employed,Not applicable,Very familiar,Almost never,Very liberal,Urban
143,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Support,Support,Support,Neutral,55-64,Female,Bachelor's degree,Employed part-time,Retail,Moderately familiar,Approximately weekly,Somewhat conservative,Urban
144,IL,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,45-54,Male,"Some college, no degree",Employed full-time,Manufacturing,Moderately familiar,Approximately monthly,Moderate,Urban
145,IL,Support,Support,Support,Support,Support,Strongly Support,Support,Neutral,Support,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Strongly Support,Support,Support,Support,55-64,Female,Bachelor's degree,Employed full-time,Manufacturing,Moderately familiar,Approximately monthly,Very liberal,Suburban
146,IL,Support,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,18-24,Male,High school graduate or equivalent,Unemployed,Not applicable,Slightly familiar,Approximately weekly,Moderate,Urban
147,IL,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Support,Neutral,Oppose,18-24,Female,Bachelor's degree,Employed full-time,"Healthcare,Finance/Banking,Government/Public Sector",Moderately familiar,Approximately weekly,Somewhat liberal,Urban
148,IL,Strongly Support,Support,Strongly Support,Support,Strongly Support,Support,Neutral,Strongly Support,Neutral,Strongly Support,Support,Neutral,Strongly Support,Neutral,Neutral,Strongly Support,Support,Neutral,Support,25-34,Female,Bachelor's degree,Employed full-time,Technology/IT,Extremely familiar,Approximately weekly,Very conservative,Urban
149,IL,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Support,Support,Strongly Support,35-44,Male,Doctorate,Employed full-time,Finance/Banking,Moderately familiar,Approximately weekly,Very conservative,Urban
150,IL,Support,Support,Neutral,Support,Strongly Support,Support,Neutral,Neutral,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
151,IL,Support,Neutral,Support,Strongly Support,Support,Neutral,Oppose,Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Support,Strongly Support,25-34,Female,Master's degree,Employed part-time,Education,Slightly familiar,Approximately monthly,Somewhat liberal,Urban
152,IL,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,25-34,Female,Bachelor's degree,Employed part-time,"Education,Retail",Moderately familiar,Approximately weekly,Very liberal,Urban
153,IL,Strongly Support,Strongly Support,Support,Neutral,Neutral,Neutral,Support,Support,Strongly Support,Oppose,Strongly Support,Strongly Support,Support,Support,Neutral,Strongly Support,Oppose,Neutral,Strongly Support,25-34,Male,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately weekly,Somewhat liberal,Urban
154,IL,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Neutral,25-34,Male,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately daily or more,Moderate,Urban
155,IL,Neutral,Neutral,Support,Support,Support,Support,Strongly Support,Neutral,Neutral,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Oppose,35-44,Female,"Some college, no degree",Retired,Prefer not to say,Moderately familiar,Approximately monthly,Very liberal,Suburban
